2024-12-05 21:08:13,994 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:16,894 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '106.10.218.137', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:17,486 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '106.10.218.137', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:22,361 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '151.101.154.109', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:25,805 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '54.202.77.110', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:27,260 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '138.113.109.44', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:27,878 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '138.113.109.44', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:30,358 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '117.18.232.200', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:31,232 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.243.29', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:31,496 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.243.29', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:34,250 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '117.18.232.200', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
